"code","name","portfolio_lvr","standard_lvr","single_lvr"
"AVG","AVG AUSTRALIAN VINTAGE LTD 40% 35% 30%","40","35","30"
"AWC","AWC ALUMINA LIMITED 65% 60% 55%","65","60","55"
"AX1","AX1 ACCENT GROUP LIMITED 45% 40% 35%","45","40","35"
"AZJ","AZJ AURIZON HOLDINGS LIMITED 70% 65% 60%","70","65","60"
"BAP","BAP BAPCOR LIMITED 60% 55% 50%","60","55","50"
"BBN","BBN BABY BUNTING GROUP LIMITED 45% 40% 35%","45","40","35"
"BCI","BCI BCI MINERALS LIMITED 40% 0% 0%","40","0","0"
"BEAR","BEAR BETASHARES AUSTRALIAN EQUITIES BEAR HEDGE FUND 80% 75% 70%","80","75","70"
"BEN","BEN BENDIGO AND ADELAIDE BANK LIMITED 70% 65% 60%","70","65","60"
"BENPG","BENPG BENDIGO AND ADELAIDE BANK LIMITED 65% 60% 55%","65","60","55"
"BENPH","BENPH BENDIGO AND ADELAIDE BANK LIMITED 70% 65% 60%","70","65","60"
"BFG","BFG BELL FINANCIAL GROUP LIMITED 40% 0% 0%","40","0","0"
"BGA","BGA BEGA CHEESE LIMITED 50% 45% 40%","50","45","40"
"BGL","BGL BELLEVUE GOLD LIMITED 40% 0% 0%","40","0","0"
"BHP","BHP BHP GROUP LIMITED 80% 75% 70%","80","75","70"
"BHYB","BHYB BETASHARES AUSTRALIAN MAJOR BANK HYBRIDS INDEX ETF 75% 70% 65%","75","70","65"
"BKI","BKI BKI INVESTMENT COMPANY LIMITED 70% 65% 60%","70","65","60"
"BKW","BKW BRICKWORKS LIMITED 70% 65% 60%","70","65","60"
"BLD","BLD BORAL LIMITED 65% 60% 55%","65","60","55"
"BLX","BLX BEACON LIGHTING GROUP LIMITED 40% 35% 30%","40","35","30"
"BNKS","BNKS BETASHARES GLOBAL BANKS ETF 70% 65% 60%","70","65","60"
"BOQ","BOQ BANK OF QUEENSLAND LIMITED 70% 65% 60%","70","65","60"
"BOQPE","BOQPE BANK OF QUEENSLAND LIMITED 70% 65% 60%","70","65","60"
"BOQPF","BOQPF BANK OF QUEENSLAND LIMITED 70% 65% 60%","70","65","60"
"BPT","BPT BEACH ENERGY LIMITED 60% 55% 50%","60","55","50"
"BRG","BRG BREVILLE GROUP LIMITED 60% 55% 50%","60","55","50"
"BSL","BSL BLUESCOPE STEEL LIMITED 75% 70% 65%","75","70","65"
"BWP","BWP BWP TRUST 70% 65% 60%","70","65","60"
"BXB","BXB BRAMBLES LIMITED 80% 75% 70%","80","75","70"
"CAJ","CAJ CAPITOL HEALTH LIMITED 40% 35% 30%","40","35","30"
"CAR","CAR CARSALES.COM LIMITED. 70% 65% 60%","70","65","60"
"CBA","CBA COMMONWEALTH BANK OF AUSTRALIA 80% 75% 70%","80","75","70"
"CBAPG","CBAPG COMMONWEALTH BANK OF AUSTRALIA 80% 75% 70%","80","75","70"
"CBAPH","CBAPH COMMONWEALTH BANK OF AUSTRALIA 80% 75% 70%","80","75","70"
"CBAPI","CBAPI COMMONWEALTH BANK OF AUSTRALIA 80% 75% 70%","80","75","70"
"CBAPJ","CBAPJ COMMONWEALTH BANK OF AUSTRALIA 80% 75% 70%","80","75","70"
"CBAPK","CBAPK COMMONWEALTH BANK OF AUSTRALIA 80% 75% 70%","80","75","70"
"CBAPL","CBAPL COMMONWEALTH BANK OF AUSTRALIA 80% 75% 70%","80","75","70"
"CBAPM","CBAPM COMMONWEALTH BANK OF AUSTRALIA 80% 75% 70%","80","75","70"
"CBO","CBO COBRAM ESTATE OLIVES LIMITED 40% 0% 0%","40","0","0"
"CDA","CDA CODAN LIMITED 45% 40% 35%","45","40","35"
"CDM","CDM CADENCE CAPITAL LIMITED 45% 40% 35%","45","40","35"
"CDP","CDP CARINDALE PROPERTY TRUST 40% 0% 0%","40","0","0"
"CGC","CGC COSTA GROUP HOLDINGS LIMITED 50% 45% 40%","50","45","40"
"CGF","CGF CHALLENGER LIMITED 65% 60% 55%","65","60","55"
"CGFPC","CGFPC CHALLENGER LIMITED 65% 60% 55%","65","60","55"
"CHC","CHC CHARTER HALL GROUP 70% 65% 60%","70","65","60"
"CHN","CHN CHALICE MINING LIMITED 40% 0% 0%","40","0","0"
"CIA","CIA CHAMPION IRON LIMITED 45% 40% 35%","45","40","35"
"CIN","CIN CARLTON INVESTMENTS LIMITED 60% 55% 50%","60","55","50"
"CIP","CIP CENTURIA INDUSTRIAL REIT 60% 55% 50%","60","55","50"
"CKF","CKF COLLINS FOODS LIMITED 60% 55% 50%","60","55","50"
"CLDD","CLDD BETASHARES CLOUD COMPUTING ETF 60% 55% 50%","60","55","50"
"CLNE","CLNE VANECK GLOBAL CLEAN ENERGY ETF 65% 60% 55%","60","55","50"
"CLV","CLV CLOVER CORPORATION LIMITED 40% 35% 30%","40","35","30"
"CLW","CLW CHARTER HALL LONG WALE REIT 65% 60% 55%","65","60","55"
"CMM","CMM CAPRICORN METALS LTD 45% 40% 35%","45","40","35"
"CMW","CMW CROMWELL PROPERTY GROUP 60% 55% 50%","60","55","50"
"CNEW","CNEW VANECK VECTORS CHINA NEW ECONOMY ETF 55% 50% 45%","55","50","45"
"CNI","CNI CENTURIA CAPITAL GROUP 55% 50% 45%","55","50","45"
"CNU","CNU CHORUS LIMITED 65% 60% 55%","65","60","55"
"COE","COE COOPER ENERGY LIMITED 40% 35% 30%","40","35","30"
"COF","COF CENTURIA OFFICE REIT 55% 50% 45%","55","50","45"
"COH","COH COCHLEAR LIMITED 70% 65% 60%","70","65","60"
"COL","COL COLES GROUP LIMITED 80% 75% 70%","80","75","70"
"CPU","CPU COMPUTERSHARE LIMITED 70% 65% 60%","70","65","60"
"CQE","CQE CHARTER HALL SOCIAL INFRASTRUCTURE REIT 60% 55% 50%","60","55","50"
"CQR","CQR CHARTER HALL RETAIL REIT 70% 65% 60%","70","65","60"
"CRED","CRED BETASHARES AUS INVESTMENT GRADE CORPORATE BOND ETF 70% 65% 60%","70","65","60"
"CRN","CRN CORONADO GLOBAL RESOURCES INC 45% 40% 35%","45","40","35"
"CSL","CSL CSL LIMITED 80% 75% 70%","80","75","70"
"CSR","CSR CSR LIMITED 65% 60% 55%","65","60","55"
"CTD","CTD CORPORATE TRAVEL MANAGEMENT LIMITED 45% 40% 35%","45","40","35"
"CURE","CURE GLOBAL X S&P BIOTECH ETF 60% 55% 50%","65","55","50"
"CUV","CUV CLINUVEL PHARMACEUTICALS LIMITED 40% 35% 30%","40","35","30"
"CWP","CWP CEDAR WOODS PROPERTIES LIMITED 40% 0% 0%","40","0","0"
"CWY","CWY CLEANAWAY WASTE MANAGEMENT LIMITED 65% 60% 55%","65","60","55"
"CXO","CXO CORE LITHIUM LTD 40% 0% 0%","40","0","0"
"DBI","DBI DALRYMPLE BAY INFRASTRUCTURE LIMITED 40% 0% 0%","40","0","0"
"DDR","DDR DICKER DATA LIMITED 60% 55% 50%","60","55","50"
"DGL","DGL DGL GROUP LIMITED 40% 0% 0%","40","0","0"
"DHG","DHG DOMAIN HOLDINGS AUSTRALIA LIMITED 60% 55% 50%","60","55","50"
"DHHF","DHHF BETASHARES DIVERSIFIED ALL GROWTH ETF 70% 65% 60%","70","65","60"
"DJRE","DJRE SPDR DOW JONES GLOBAL REAL ESTATE FUND 65% 60% 55%","65","60","55"
"DJW","DJW DJERRIWARRH INVESTMENTS LIMITED 70% 65% 60%","70","65","60"
"DMP","DMP DOMINO'S PIZZA ENTERPRISES LIMITED 60% 55% 50%","60","55","50"
"DOW","DOW DOWNER EDI LIMITED 50% 45% 40%","50","45","40"
"DRIV","DRIV BETASHARES ELECTRIC VEHICLES AND FTR MOBILITY ETF 60% 55% 50%","60","55","50"
"DDR","DRR DETERRA ROYALTIES LIMITED 65% 60% 55%","65","60","55"
"DRUG","DRUG BETASHARES GLOBAL HEALTHCARE ETF 70% 65% 60%","70","65","60"
"DTL","DTL DATA#3 LIMITED 50% 45% 40%","50","45","40"
"DUI","DUI DIVERSIFIED UNITED INVESTMENT LIMITED 70% 65% 60%","70","65","60"
"DXC","DXC DEXUS CONVENIENCE RETAIL REIT 50% 45% 40%","50","45","40"
"DXI","DXI DEXUS INDUSTRIA REIT 65% 60% 55%","65","60","55"
"DXS","DXS DEXUS 65% 60% 55%","65","60","55"
"EDV","EDV ENDEAVOUR GROUP LIMITED 70% 65% 60%","70","65","60"
"EHE","EHE ESTIA HEALTH LIMITED 45% 40% 35%","45","40","35"
"EHL","EHL EMECO HOLDINGS LIMITED 40% 35% 30%","40","35","30"
"ELD","ELD ELDERS LIMITED 60% 55% 50%","60","55","50"
"EQT","EQT EQT HOLDINGS LIMITED 50% 45% 40%","50","45","40"
"ERTH","ERTH BETASHARES CLIMATE CHANGE & ENV OPP ETF 65% 60% 55%","65","60","55"
"ESPO","ESPO VANECK VECTORS VIDEO GAMING ESPORTS ETF 65% 60% 55%","65","60","55"
"ESTX","ESTX GLOBAL X EURO STOXX 50 ETF 75% 70% 65%","75","70","65"
"ETHI","ETHI BETASHARES GLOBAL SUSTAINABILITY LEADERS ETF 75% 70% 65%","75","70","65"
"EPTMAG","ETPMAG GLOBAL X PHYSICAL SILVER A 60% 55% 50%","60","55","50"
"ETPMPT","ETPMPT GLOBAL X PHYSICAL PLATINUM A 55% 50% 45%","55","50","45"
"EVN","EVN EVOLUTION MINING LIMITED 65% 60% 55%","65","60","55"
"EVT","EVT EVT LIMITED 65% 60% 55%","65","60","55"
"EX20","EX20 BETASHARES AUSTRALIAN EX-20 PORTFOLIO DIVERSIFIER ETF 80% 75% 70%","80","75","70"
"F100","F100 BETASHARES FTSE 100 ETF 70% 65% 60%","70","65","60"
"FAIR","FAIR BETASHARES AUSTRALIAN SUSTAINABILITY LEADERS ETF 80% 75% 70%","80","75","70"
"FANG","FANG GLOBAL X FANG+ ETF 65% 60% 55%","65","60","55"
"FBU","FBU FLETCHER BUILDING LIMITED 55% 50% 45%","55","50","45"
"FEMX","FEMX FIDELITY GLOBAL EMERGING MARKETS 70% 65% 60%","70","65","60"
"FEX","FEX FENIX RESOURCES LTD 40% 0% 0%","40","0","0"
"FGG","FGG FUTURE GENERATION GLOBAL LIMITED 65% 60% 55%","65","60","55"
"FGX","FGX FUTURE GENERATION AUSTRALIA LIMITED 70% 65% 60%","70","65","60"
"FLT","FLT FLIGHT CENTRE TRAVEL GROUP 55% 50% 45%","55","50","45"
"FMG","FMG FORTESCUE METALS GROUP LTD 65% 60% 55%","65","60","55"
"FOOD","FOOD BETASHARES GLOBAL AGRICULTURE ETF - CURRENCY HEDGED 65% 60% 55%","65","60","55"
"FPH","FPH FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED 65% 60% 55%","65","60","55"
"FUEL","FUEL BETASHARES GLOBAL ENERGY COMPANIES ETF 70% 65% 60%","70","65","60"
"FWD","FWD FLEETWOOD CORPORATION LIMITED 40% 35% 30%","40","35","30"
"GDI","GDI GDI PROPERTY GROUP 45% 40% 35%","45","40","35"
"GDX","GDX VANECK VECTORS GOLD MINERS ETF 70% 65% 60%","70","65","60"
"GEM","GEM G8 EDUCATION LIMITED 50% 45% 40%","50","45","40"
"GGOV","GGOV BETASHARES GLOBAL GOV BOND 20+ YR ETF 80% 75% 70%","80","75","70"
"GMD","GMD GENESIS MINERALS LIMITED 45% 40% 35%","45","40","35"
"GMG","GMG GOODMAN GROUP 75% 70% 65%","75","70","65"
"GNC","GNC GRAINCORP LIMITED 65% 60% 55%","65","60","55"
"GNE","GNE GENESIS ENERGY LIMITED 45% 40% 35%","45","40","35"
"GOLD","GOLD GLOBAL X PHYSICAL GOLD 80% 75% 70%","80","75","70"
"GOR","GOR GOLD ROAD RESOURCES LIMITED 45% 40% 35%","45","40","35"
"GOZ","GOZ GROWTHPOINT PROPERTIES AUSTRALIA 65% 60% 55%","65","60","55"
"GPT","GPT GPT GROUP 70% 65% 60%","70","65","60"
"GQG","GQG GQG PARTNERS INC. 60% 55% 50%","60","55","50"
"GRR","GRR GRANGE RESOURCES LIMITED 40% 0% 0%","40","0","0"
"GUD","GUD G.U.D. HOLDINGS LIMITED 60% 55% 50%","60","55","50"
"GVF","GVF GLOBAL VALUE FUND LIMITED 50% 45% 40%","50","45","40"
"GWA","GWA GWA GROUP LIMITED 55% 50% 45%","55","50","45"
"HACK","HACK BETASHARES GLOBAL CYBERSECURITY ETF 70% 65% 60%","70","65","60"
"HBRD","HBRD BETASHARES ACTIVE AUSTRALIAN HYBRIDS FUND (MANAGED FUND)80% 75% 70%","80","75","70"
"HCW","HCW HEALTHCO HEALTHCARE AND WELLNESS REIT 50% 45% 40%","50","45","40"
"HDN","HDN HOMECO DAILY NEEDS REIT 60% 55% 50%","60","55","50"
"HGEN","HGEN GLOBAL X HYDROGEN ETF 55% 50% 45%","55","50","45"
"HLI","HLI HELIA GROUP LIMITED 40% 0% 0%","40","0","0"
"HLS","HLS HEALIUS LIMITED 65% 60% 55%","65","60","55"
"HM1","HM1 HEARTS AND MINDS INVESTMENTS LIMITED 60% 55% 50%","60","55","50"
"HMC","HMC HMC CAPITAL LIMITED 55% 50% 45%","55","50","45"
"HNDQ","HNDQ BETASHARES NASDAQ 100 ETF - CURRENCY HEDGED 75% 70% 65%","75","70","65"
"HPG","HPG HIPAGES GROUP HOLDINGS LTD 40% 0% 0%","40","0","0"
"HPI","HPI HOTEL PROPERTY INVESTMENTS 45% 40% 35%","45","40","35"
"HSN","HSN HANSEN TECHNOLOGIES LIMITED 50% 45% 40%","50","45","40"
"HUB","HUB HUB24 LIMITED 50% 45% 40%","50","45","40"
"HVN","HVN HARVEY NORMAN HOLDINGS LIMITED 70% 65% 60%","70","65","60"
"HVST","HVST BETASHARES AUSTRALIAN DIVIDEND HARVESTER FUND (MANAGED FUND) 75% 70% 65%","75","70","65"
"HYGG","HYGG HYPERION GBL GROWTH COMPANIES FUND (MANAGED FUND) 70% 65% 60%","70","65","60"
"IAA","IAA ISHARES ASIA 50 ETF 70% 65% 60%","70","65","60"
"IAF","IAF ISHARES CORE COMPOSITE BOND ETF 80% 75% 70%","80","75","70"
"IAG","IAG INSURANCE AUSTRALIA GROUP LIMITED 80% 75% 70%","80","75","70"
"IAGPE","IAGPE INSURANCE AUSTRALIA GROUP LIMITED 80% 75% 70%","80","75","70"
"IDX","IDX INTEGRAL DIAGNOSTICS LIMITED 50% 45% 40%","50","45","40"
"IEL","IEL IDP EDUCATION LIMITED 65% 60% 55% M","65","60","55"
"IEM","IEM ISHARES MSCI EMERGING MARKETS ETF 75% 70% 65%","75","70","65"
"IEU","IEU ISHARES EUROPE ETF 75% 70% 65%","75","70","65"
"IFL","IFL INSIGNIA FINANCIAL LIMITED 60% 55% 50%","60","55","50"
"IFM","IFM INFOMEDIA LTD 45% 40% 35% M","45","40","35"
"IFRA","IFRA VANECK FTSE GLOBAL INFRASTRUCTURE (HEDGED) ETF 70% 65% 60%","70","65","60"
"IGO","IGO INDEPENDENCE GROUP NL 65% 60% 55%","65","60","55"
"IHD","IHD ISHARES S&P/ASX DIVIDEND OPPORTUNITIES ETF 80% 75% 70%","80","75","70"
"IHVV","IHVV ISHARES S&P 500 AUD HEDGED ETF 80% 75% 70%","80","75","70"
"IHWL","IHWL ISHARES CORE MSCI WORLD ALL CAP (HEDGED) 70% 65% 60%","70","65","60"
"IIGF","IIGF INTELLIGENT INVESTOR AUS EQUITY GROWTH 60% 55% 50%","60","55","50"
"IIND","IIND BETASHARES INDIA QUALITY ETF. 65% 60% 55%","65","60","55"
"IJH","IJH ISHARES S&P MID-CAP ETF 75% 70% 65%","75","70","65"
"IJP","IJP ISHARES MSCI JAPAN ETF 80% 75% 70%","80","75","70"
"IJR","IJR ISHARES S&P SMALL-CAP ETF 75% 70% 65%","75","70","65"
"IKO","IKO ISHARES MSCI SOUTH KOREA ETF 65% 60% 55%","65","60","55"
"ILB","ILB ISHARES GOVERNMENT INFLATION ETF 75% 70% 65%","75","70","65"
"ILC","ILC ISHARES S&P/ASX 20 ETF 80% 75% 70%","80","75","70"
"ILU","ILU ILUKA RESOURCES LIMITED 70% 65% 60%","70","65","60"
"IMA","IMA IMAGE RESOURCES NL 40% 0% 0%","40","0","0"
"IMD","IMD IMDEX LIMITED 50% 45% 40%","50","45","40"
"INA","INA INGENIA COMMUNITIES GROUP 45% 40% 35%","45","40","35"
"INES","INES INVESTSMART ETHICAL SHARE FUND (MANAGED FUND) 65% 60% 55%","65","60","55"
"ING","ING INGHAMS GROUP LIMITED 60% 55% 50%","60","55","50"
"INIF","INIF INVESTSMART AUSTRALIAN EQUITY INCOME FUND (MANAGED FUND) 55% 50% 45%","55","50","45"
"IOO","IOO ISHARES GLOBAL 100 ETF 75% 70% 65%","75","70","65"
"IOZ","IOZ ISHARES CORE S&P/ASX 200 ETF 80% 75% 70%","80","75","70"
"IPH","IPH IPH LIMITED 55% 50% 45%","55","50","45"
"IPL","IPL INCITEC PIVOT LIMITED 70% 65% 60%","70","65","60"
"IRE","IRE IRESS LIMITED 65% 60% 55%","65","60","55"
"ISO","ISO ISHARES S&P/ASX SMALL ORDINARIES ETF 70% 65% 60%","70","65","60"
"IVC","IVC INVOCARE LIMITED 45% 40% 35%","45","40","35"
"IVE","IVE ISHARES MSCI EAFE ETF 80% 75% 70%","80","75","70"
"IVV","IVV ISHARES S&P 500 ETF 80% 75% 70%","80","75","70"
"IWLD","IWLD ISHARES CORE MSCI WORLD EX AUS ESG LEADERS ETF 75% 70% 65%","75","70","65"
"IXI","IXI ISHARES GLOBAL CONSUMER STAPLES ETF 70% 65% 60%","70","65","60"
"IXJ","IXJ ISHARES GLOBAL HEALTHCARE ETF 70% 65% 60%","70","65","60"
"IZZ","IZZ ISHARES CHINA LARGE-CAP ETF 65% 60% 55%","65","60","55"
"JBH","JBH JB HI-FI LIMITED 75% 70% 65%","75","70","65"
"JDO","JDO JUDO CAPITAL HOLDINGS LIMITED 45% 40% 35%","45","40","35"
"JHG","JHG JANUS HENDERSON GROUP PLC 65% 60% 55%","65","60","55"
"JHX","JHX JAMES HARDIE INDUSTRIES PLC 70% 65% 60%","70","65","60"
"JIN","JIN JUMBO INTERACTIVE LIMITED 50% 45% 40%","50","45","40"
"JLG","JLG JOHNS LYNG GROUP LIMITED 55% 50% 45%","55","50","45"
"JMS","JMS JUPITER MINES LIMITED 40% 0% 0%","40","0","0"
"KAR","KAR KAROON ENERGY LTD 45% 40% 35%","45","40","35"
"KGN","KGN KOGAN.COM LTD 45% 40% 35%","45","40","35"
"KLS","KLS KELSIAN GROUP LIMITED 60% 55% 50%","60","55","50"
"KMD","KMD KMD BRANDS LIMITED 45% 40% 35%","45","40","35"
"KSL","KSL KINA SECURITIES LIMITED 40% 35% 30%","40","35","30"
"LIC","LIC LIFESTYLE COMMUNITIES LIMITED 50% 45% 40%","50","45","40"
"LLC","LLC LENDLEASE GROUP 70% 65% 60%","70","65","60"
"LNK","LNK LINK ADMINISTRATION HOLDINGS LIMITED 40% 35% 30%","40","35","30"
"LOV","LOV LOVISA HOLDINGS LIMITED 40% 35% 30%","40","35","30"
"LPGD","LPGD LOFTUS PEAK GLOBAL DISRUPTION FUND (MANAGED FUND) 65% 60% 55%","65","60","55"
"LSF","LSF L1 LONG SHORT FUND LIMITED 55% 50% 45%","55","50","45"
"LYC","LYC LYNAS CORPORATION LIMITED 55% 50% 45%","55","50","45"
"MAET","MAET MUNRO GLOBAL GROWTH FUND (HEDGE FUND) 50% 45% 40%","50","45","40"
"MAH","MAH MACMAHON HOLDINGS LIMITED 40% 0% 0%","40","0","0"
"MAQ","MAQ MACQUARIE TECHNOLOGY GROUP LIMITED 40% 35% 30%","40","35","30"
"MBLPC","MBLPC MACQUARIE BANK LIMITED 80% 75% 70%","80","75","70"
"MBLPD","MBLPD MACQUARIE BANK LIMITED 80% 75% 70%","80","75","70"
"MCY","MCY MERCURY NZ LIMITED 40% 0% 0%","40","0","0"
"MEZ","MEZ MERIDIAN ENERGY LIMITED 50% 45% 40%","50","45","40"
"MFF","MFF MFF CAPITAL INVESTMENTS LIMITED 75% 70% 65%","75","70","65"
"MFG","MFG MAGELLAN FINANCIAL GROUP LIMITED 60% 55% 50%","60","55","50"
"MGF","MGF MAGELLAN GLOBAL TRUST 70% 65% 60%","70","65","60"
"MGH","MGH MAAS GROUP HOLDINGS LIMITED 45% 40% 35%","45","40","35"
"MGOC","MGOC MAGELLAN GLOBAL EQUITIES FUND (MANAGED FUND) 75% 70% 65%","75","70","65"
"MGR","MGR MIRVAC GROUP 70% 65% 60%","70","65","60"
"MGX","MGX MOUNT GIBSON IRON LIMITED 40% 35% 30%","40","35","30"
"MHHT","MHHT MAGELLAN HIGH CONVICTION TRUST 65% 60% 55%","65","60","55"
"MICH","MICH MAGELLAN INFRASTRUCTURE FUND 75% 70% 65%","75","70","65"
"MIN","MIN MINERAL RESOURCES LIMITED 60% 55% 50%","60","55","50"
"MIR","MIR MIRRABOOKA INVESTMENTS LIMITED 60% 55% 50%","60","55","50"
"MMS","MMS MCMILLAN SHAKESPEARE LIMITED 65% 60% 55%","65","60","55"
"MND","MND MONADELPHOUS GROUP LIMITED 65% 60% 55%","65","60","55"
"MNRS","MNRS BETASHARES GLOBAL GOLD MINERS ETF 65% 60% 55%","65","60","55"
"MOAT","MOAT VANECK VECTORS MORNINGSTAR WIDE MOAT ETF 70% 65% 60%","70","65","60"
"MOGL","MOGL MONTAKA GLOBAL LONG ONLY EQUITIES FUND 65% 60% 55%","65","60","55"
"MOT","MOT METRICS INCOME OPPORTUNITIES TRUST 40% 35% 30%","40","35","30"
"MPL","MPL MEDIBANK PRIVATE LIMITED 65% 60% 55%","65","60","55"
"MQG","MQG MACQUARIE GROUP LIMITED 80% 75% 70%","80","75","70"
"MQGPC","MQGPC MACQUARIE GROUP LIMITED 80% 75% 70%","80","75","70"
"MQGPD","MQGPD MACQUARIE GROUP LIMITED 80% 75% 70%","80","75","70"
"MQGPE","MQGPE MACQUARIE GROUP LIMITED 80% 75% 70%","80","75","70"
"MQGPF","MQGPF MACQUARIE GROUP LIMITED 80% 75% 70%","80","75","70"
"MTS","MTS METCASH LIMITED 70% 65% 60%","70","65","60"
"MVA","MVA VANECK VECTORS AUSTRALIAN PROPERTY ETF 70% 65% 60%","70","65","60"
"MVB","MVB VANECK VECTORS AUSTRALIAN BANKS ETF 80% 75% 70%","80","75","70"
"MVE","MVE VANECK S&P/ASX MIDCAP ETF 75% 70% 65%","75","70","65"
"MVR","MVR VANECK AUSTRALIAN RESOURCES ETF 75% 70% 65%","75","70","65"
"MVW","MVW VANECK VECTORS AUSTRALIAN EQUAL WEIGHT ETF 75% 70% 65%","75","70","65"
"MXT","MXT METRICS MASTER INCOME TRUST 40% 35% 30%","40","35","30"
"MYR","MYR MYER HOLDINGS LIMITED 40% 35% 30%","40","35","30"
